98,10208,Rohat Tuek,"E102° 58'' 35.900'"","N13° 28'' 34.339'"",Commune,1,102,10208,,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
99,1020801,Pou Pir Daeum,"E102° 59'' 15.284'"","N13° 29'' 42.945'"",Village,1,102,10208,1020801,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
100,1020802,Rohat Tuek,"E102° 59'' 03.252'"","N13° 29'' 14.934'"",Village,1,102,10208,1020802,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
101,1020803,Thnal Bat,"E102° 59'' 02.461'"","N13° 28'' 50.266'"",Village,1,102,10208,1020803,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
102,1020804,Kramol,"E102° 58'' 35.891'"","N13° 28'' 55.193'"",Village,1,102,10208,1020804,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
103,1020805,Khtum Chrum,"E102° 58'' 23.901'"","N13° 28'' 26.173'"",Village,1,102,10208,1020805,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
104,1020806,Chak Lech,"E102° 57'' 37.158'"","N13° 28'' 10.959'"",Village,1,102,10208,1020806,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
105,1020807,Doun Mul,"E102° 58'' 11.449'"","N13° 28'' 00.924'"",Village,1,102,10208,1020807,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
106,1020808,Preaek Samraong,"E102° 57'' 46.742'"","N13° 27'' 30.467'"",Village,1,102,10208,1020808,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
107,1020809,Ou Dangkao,"E102° 58'' 56.449'"","N13° 27'' 30.346'"",Village,1,102,10208,1020809,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
108,1020810,Chamkar Chek,"E102° 58'' 55.462'"","N13° 27'' 01.350'"",Village,1,102,10208,1020810,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
109,1020811,Ou Chuob,"E102° 58'' 46.614'"","N13° 26'' 34.340'"",Village,1,102,10208,1020811,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
110,1020812,Ka Svay,"E102° 59'' 23.688'"","N13° 25'' 48.926'"",Village,1,102,10208,1020812,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
111,1020813,Chak Kaeut,"E102° 57'' 45.087'"","N13° 28'' 12.813'"",Village,1,102,10208,1020813,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
112,10209,Ruessei Kraok,"E103° 01'' 30.829'"","N13° 32'' 16.742'"",Commune,1,102,10209,,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
113,1020901,Anhchanh,"E103° 02'' 35.692'"","N13° 32'' 30.592'"",Village,1,102,10209,1020901,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
114,1020902,Neang Ket,"E103° 00'' 17.714'"","N13° 32'' 39.620'"",Village,1,102,10209,1020902,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
115,1020903,Praek Ropov,"E102° 59'' 45.894'"","N13° 33'' 07.019'"",Village,1,102,10209,1020903,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
116,1020904,Sala Daeng,"E103° 00'' 33.899'"","N13° 32'' 52.795'"",Village,1,102,10209,1020904,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
